x,relabel
"FRÈRE, SOEUR",BROTHER/SISTER
SON/DAUGHTER-IN-LAW,CHILD IN-LAW
"BEAU FILS, BELLE FILLE",CHILD IN-LAW
SON/DAUGHTER,CHILD/ADOPTED CHILD
CHILD/ADOPTED CHILD,CHILD/ADOPTED CHILD
"FILS, FILLE",CHILD/ADOPTED CHILD
"PETIT FILS, PETITE FILLE",CHILD/ADOPTED CHILD
OWN CHILD,CHILD/ADOPTED CHILD
STEP CHILD,CHILD/ADOPTED CHILD
ADOPTED CHILD,CHILD/ADOPTED CHILD
STEP CHILDREN,CHILD/ADOPTED CHILD
STEP SON / DAUGHTER,CHILD/ADOPTED CHILD
STEP SON/DAUGHTER,CHILD/ADOPTED CHILD
SON/DAUGHTER OF HEAD,CHILD/ADOPTED CHILD
SON / DAUGHTER OF HEAD OR SPOUSE,CHILD/ADOPTED CHILD
"COUSIN, COUSINE",COUSIN
SERVANT,DOMESTIC HELP
SERVANT OR SERVANT'S RELATIVE,DOMESTIC HELP
DOMESTIQUE OU PARENT DU DOMESTIQUE,DOMESTIC HELP
DOMESTIC HELP (RESIDENT),DOMESTIC HELP
DOMESTIC HELP (NON RESIDENT),DOMESTIC HELP
LIVE-INSERVANT,DOMESTIC HELP
LIVE-IN SERVANT,DOMESTIC HELP
GRANDCHILD,GRANDCHILD
GRAND CHILD,GRANDCHILD
GRANDPARENT,GRANDPARENT
GRANDFATHER/MOTHER,GRANDPARENT
"GRAND-PÈRE, GRAND-MÈRE",GRANDPARENT
HEAD,HEAD
NIECE/NEPHEW,NEPHEW/NIECE
"NEVEU, NIÈCE",NEPHEW/NIECE
NEPHEW/NIECE,NEPHEW/NIECE
NEPHEW / NIECE,NEPHEW/NIECE
NON RELATIVE,NON-RELATIVE
OTHER NON-RELATIVE,NON-RELATIVE
LODGER/LODGER'S RELATIVE,NON-RELATIVE
OTHER (SPECIFY),NON-RELATIVE
PERSONNE NON APPARENTÉE AU CM OU À LA CONJOINTE,c
OTHER NON RELATION (SPECIFY),NON-RELATIVE
OTHER NON RELATIVES,NON-RELATIVE
OTHER NON-RELATIVES (SPECIFY),NON-RELATIVE
OTHER NON-RELATIVE (SPECIFY),NON-RELATIVE
NON-RELATIVE,NON-RELATIVE
OTHER RELATIVE,OTHER RELATIVE
AUTRES PARENTS DU CM OU DU CONJOINT(E),OTHER RELATIVE
OTHER RELATION (SPECIFY),OTHER RELATIVE
OTHER RELATIVE(SPECIFY),OTHER RELATIVE
OTHER RELATIVE (SPECIFY),OTHER RELATIVE
OTHER RELATIVES,OTHER RELATIVE
FATHER/MOTHER,PARENT
"PÈRE, MÈRE",PARENT
PARENT,PARENT
FATHER-MOTHER,PARENT
PARENT OF HEAD OR SPOUSE,PARENT
FATHER/MONTH-IN-LAW,PARENT IN-LAW
FATHER/MOTHER IN-LAW,PARENT IN-LAW
FATHER/MOTHER-IN-LAW,PARENT IN-LAW
"BEAU PÈRE, BELLE MÈRE",PARENT IN-LAW
PARENT IN LAW,PARENT IN-LAW
SISTER/BROTHER,SIBLING
BROTHER/SISTER,SIBLING
SISTER/BROTHER OF HEAD OR SPOUSE,SIBLING
SISTER / BROTHER OF HEAD OR SPOUSE,SIBLING
BROTHER/SISTER-IN-LAW,SIBLING IN-LAW
BROTHER/SISTER IN-LAW,SIBLING IN-LAW
"BEAU FRÈRE, BELLE SOEUR",SIBLING IN-LAW
BROTHER/SISTER INLAW,SIBLING IN-LAW
SPOUSE,SPOUSE
WIFE/HUSBAND,SPOUSE
CONJOINT(E) DU CM,SPOUSE
UNCLE/AUNT,UNCLE/AUNT
CONJOINT ( E ),SPOUSE
AUTRES PARENTS DU CM/CONJOINT,PARENT IN-LAW
PERSONNE NON APPARENTÉE AU CM/CONJOINT,NON-RELATIVE
"FRÈRE, SŒUR",SIBLING
GRAND-PARENTS,GRANDPARENT
